CNAG_01560
CNAG_00269
CNAG_01562
CNAG_06347
CNAG_02984
CNAG_00588
CNAG_03087
CNAG_04657
CNAG_01539
CNAG_01500
CNAG_00765
CNAG_01524
CNAG_01056
CNAG_01275
CNAG_04025
CNAG_06541
CNAG_05833
CNAG_05914
CNAG_01995
CNAG_03346
CNAG_01621
CNAG_04978
CNAG_07491
CNAG_04098
CNAG_06540
CNAG_06890
