gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_06389	154.90593633025333	-5.320256270078267	0.6937140423965373	-7.66923536922888	1.7302468002394477e-14	1.6753732588604252e-11
CNAG_01980	37.40857469911527	-4.5677138426974775	0.7246914593710806	-6.3029773341906665	2.9198160443453005e-10	8.24604714523852e-8
CNAG_03894	86.62983413355371	-4.14271558783769	0.6161041033716351	-6.724051284785546	1.7674017929295075e-11	6.6867296027362874e-009
CNAG_01551	1617.3225235366624	-3.8011264156182523	0.2965636498269238	-12.817236427446893	1.312973304118113e-37	8.89933305531257e-34
CNAG_06346	749.1609967776825	-3.2412620436231534	0.7865149838831543	-4.121042968082448	3.771610676056824e-5	0.0018936279379491224
CNAG_06917	3850.566842917101	-3.194423275496411	0.8417360751653725	-3.795041426576395	1.4761880576237465e-4	0.005497583876139425
CNAG_04874	627.0945339136994	-2.8608840824304784	0.4320967603523894	-6.620933885496691	3.569365996617093e-11	1.2096581362535327e-8
CNAG_00456	846.2217259162381	-2.541235175605424	0.4214030168464951	-6.030415241500566	1.6353892529274768e-9	3.5756994697878835e-7
CNAG_00302	54.933307954971404	-2.5366615563632537	0.3160742645799641	-8.025523874062515	1.0109359263986985e-15	1.3704247418260755e-12
CNAG_02872	58.39315464713821	-2.3399501018807256	0.35807528894722723	-6.5347991724321	6.36949514691666e-11	1.9623835502636873e-8
CNAG_06242	604.4150075935717	-2.337900410268773	0.34088575565820206	-6.858310655294525	6.967960617608577e-12	3.1485891377433955e-9
CNAG_01389	36.01477050199467	-2.32412870614455	0.6407444768335567	-3.62723174397066	2.864761561319913e-4	0.008866371626770033
CNAG_00735	23.293489009504395	-2.318476880272121	0.40159302588934664	-5.773200057789213	7.778000093869462e-9	1.5505671951837415e-6
CNAG_06785	513.1171784950758	-2.3094997734450167	0.37334311911162577	-6.185997960644079	6.171080525588608e-10	1.6087532231707534e-7
CNAG_05916	236.65589877077522	-2.2395519947457383	0.22110717392051346	-10.128807469407764	4.1163896050819086e-24	1.3950444371622587e-20
CNAG_03516	718.3531392271713	-2.158883714951248	0.25369378090159417	-8.509801490911052	1.7423138621834474e-17	3.9364677859598024e-14
CNAG_02544	4.749917691210103	-2.1494498480953395	0.6764068963099052	-3.1777467968193793	0.001484243092084062	0.02907572161313807
CNAG_05161	57.64948630217553	-1.9882684491156168	0.4436965070360185	-4.481145146707709	7.424359551958076e-6	5.032230904317184e-4
CNAG_00674	104.59776813786497	-1.9210565914022217	0.6355158922521209	-3.0228301366224577	0.002504227655112181	0.04109843836888708
CNAG_04018	35.42335749629082	-1.8626281494087726	0.47542826668006977	-3.917790085170077	8.936447311248825e-5	0.0036709842348875477
CNAG_02729	42.724027589560066	-1.7570058310308998	0.5349773629357514	-3.284262013235706	0.0010224981413673795	0.022410569196205005
CNAG_06281	33.337606707416704	-1.6852069542699224	0.45449339408914347	-3.707879974025297	2.0900167046849065e-4	0.007227618992017498
CNAG_06163	80.06541099548244	-1.6727737985024607	0.38720580539404253	-4.320115492070558	1.559475622232805e-5	9.191413710864307e-4
CNAG_05263	65.16206127886844	-1.661464738564384	0.38384807932949994	-4.3284435380440245	1.5016681843987823e-5	8.928339433206093e-4
CNAG_04626	38.946422988523736	-1.5990009492915618	0.5089507669792491	-3.1417595827235605	0.0016793586994282713	0.031574092877352675
CNAG_02323	116.45316596156302	-1.5961640888280866	0.2654802050023659	-6.0123657385825124	1.8283524442310461e-9	3.872679020936885e-7
CNAG_00597	140.75311109436177	-1.5674422755368107	0.3688578585878567	-4.2494479622520185	2.142979837656076e-5	0.001180903848750641
CNAG_05835	746.1883663217075	-1.5564520054874036	0.33673808354917023	-4.622144276295175	3.797937130879159e-6	2.9252747583066973e-4
CNAG_03848	329.8252282331085	-1.538911035529429	0.345122177913411	-4.459032580385292	8.23304071368599e-6	5.525103956174618e-4
CNAG_05870	613.975919659343	-1.49825703695259	0.22284336050221115	-6.723364041791695	1.7757617711604187e-11	6.6867296027362874e-009
CNAG_06200	252.50901637543038	-1.483258881462763	0.31125727901448935	-4.7653789371901425	1.8849904990542547e-6	1.72654940575537e-4
CNAG_00165	1030.5897794217824	-1.4044423708808726	0.2991968673653763	-4.694041028062574	2.678602747683656e-6	2.2981733447847874e-4
CNAG_05313	310.17664411363955	-1.3628031721664833	0.18151508937985994	-7.507933234765514	6.00681247126647e-14	5.089271866280517e-11
CNAG_03326	123.41105938233486	-1.3548083442559045	0.45789796580387443	-2.9587559793532523	0.003088835859545633	0.047153444720721395
CNAG_03461	205.16099165743572	-1.3400140237855604	0.18661245927355113	-7.180731817168023	6.933924950034841e-13	4.699814331133615e-10
CNAG_02194	8.980249828511939	-1.3354942153020557	0.37605392307521135	-3.5513370114076825	3.832793001747356e-4	0.010869736805792292
CNAG_05962	113.92895904953201	-1.3284362707182797	0.16325843988460828	-8.13701436603966	4.051446597546276e-16	6.865176259542165e-13
CNAG_03172	72.71536127966017	-1.3040400366289968	0.43115883481231576	-3.0245003264206516	0.0024904420294836437	0.040971398242330426
CNAG_05346	90.93699526622225	-1.3028060954741776	0.3859563533016355	-3.375527010578833	7.367445973315049e-4	0.01758329183349627
CNAG_02822	307.36255062084746	-1.290410090110729	0.23420086233368234	-5.509843461943327	3.5915295198821985e-8	5.937411484332083e-6
CNAG_07809	3.337951335559714	-1.2753837854767793	0.4192531035853239	-3.0420377918972776	0.0023498239020991133	0.0396196676826562
CNAG_05312	184.98332932397406	-1.2641535921109346	0.3860404476593607	-3.274666164583911	0.0010578690456711788	0.022690621492276106
