gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted	minus_log10_pvalue
CNAG_00002	938.2268513316483	0.029867645171744114	0.5054459333701465	0.059091671729548836	0.9528790920487537	0.9971300521385945	0.02096220218150516
CNAG_00003	105.65428864836834	-0.2821976561285815	0.14055995053467815	-2.007667582800972	0.044678627631457885	0.3296413522772467	1.349900175333478
CNAG_00004	215.7358719969727	-0.12573581860735328	0.2512143476827969	-0.5005120916346596	0.6167145442088372	0.9971300521385945	0.20991580932436943
CNAG_00005	459.180692409702	0.38860509333956106	0.18175329193498577	2.138091086012172	0.032509351270129105	0.2753948419470812	1.487991696840823
CNAG_00006	1045.4241380910503	0.2028132887434943	0.185171887469981	1.0952704080222395	0.27339818776440994	0.8167787657438375	0.5632043685045723
CNAG_00007	523.9764458405466	0.19672095986223806	0.2184069688814821	0.9007082551884511	0.36774345830948374	0.8977656401164883	0.4344550440806837
CNAG_00008	380.9284665873174	-0.032322826611799145	0.20245655759342748	-0.15965314730239427	0.8731543104008254	0.9971300521385945	0.058908997722345306
CNAG_00009	134.69928693010445	-0.3514297281544931	0.15567510015025596	-2.257456252254194	0.02397958015309198	0.2292096117031091	1.6201584250233092
CNAG_00010	799.8756509924143	0.002869693974207118	0.3767503002193159	0.007616965328326472	0.993922599731012	0.9984852348004373	0.0026474343335978713
CNAG_00011	74.82083856554907	-0.48660214046939565	0.25048667862501706	-1.9426268220748282	0.052061263717715044	0.35746624540522276	1.2834852941797361
CNAG_00012	254.7295124055386	0.5427284262103863	0.5181967221394518	1.047340523439924	0.29494255243676437	0.8339040676867722	0.5302625656804674
CNAG_00013	178.98312886550485	0.20398085977243188	0.15680482190313713	1.300858336476647	0.19330694944993138	0.7045582361272046	0.7137525326579146
CNAG_00014	107.35881548033768	-0.3687142621533185	0.12231091237541099	-3.014565544418616	0.002573475988487681	0.04844568548328059	2.589479879528034
CNAG_00015	459.721288989647	0.6075829123669141	0.23652424845065428	2.5687975602792084	0.010205205507581057	0.12328106546323854	1.9911782452438644
CNAG_00016	381.5574437004331	-0.009397718461871037	0.1277198695267248	-0.07358070828521014	0.9413440220789073	0.9971300521385945	0.026251630997616147
