gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted	minus_log10_pvalue
CNAG_00002	974.791097123508	0.07079061604946549	0.5245680934564724	0.1349502894524399	0.892651177951667	0.9871740388573013	0.049318217579685145
CNAG_00003	117.57079916034557	-7.857753065801197e-4	0.1715692646322264	-0.004579930492005647	0.9963457569459725	0.9994422880834396	0.0015899243513998892
CNAG_00004	239.9275704935502	-0.09139823069502934	0.24459897498961616	-0.3736656324864379	0.7086530974034999	0.9610345526612489	0.1495663103073654
CNAG_00005	641.156686214471	0.7361877660277841	0.25781928788290137	2.8554410031655677	0.00429771067321863	0.058650407890995404	2.3667628250600417
CNAG_00006	1160.6633705106549	0.2503593211003974	0.17619011222548897	1.4209612442949482	0.15532802662002046	0.5555052488743729	0.8087501752550539
CNAG_00007	601.5575299543327	0.12981042654942865	0.19238290409039596	0.6747503223489856	0.49983440710267146	0.8976888212352695	0.3011738516499301
CNAG_00008	371.65264667171203	-0.3412242592419768	0.149874922813593	-2.2767268388613258	0.02280254277494098	0.18013477264399763	1.6420167209139853
CNAG_00009	128.24348135982842	-0.2907847904181139	0.15319203942761617	-1.8981716772268107	0.057673470500399296	0.324670589759826	1.2390239141375075
CNAG_00010	800.7843628873615	-0.03665152677035956	0.35098711486767703	-0.1044241375760397	0.9168327683779529	0.99151772655893	0.03770987304748955
CNAG_00011	69.99495457906835	-0.2999759499038401	0.21951818703341672	-1.3665198039293913	0.17177586929915292	0.5880287081361911	0.7650378449650779
CNAG_00012	201.0030913646477	0.7393873443251165	0.5076867868296104	1.4563848488995033	0.145286261557686	0.5392936915870733	0.8377754511650143
CNAG_00013	194.1968874060544	0.2943045031589835	0.1445547588313837	2.0359378379391564	0.041756597695656227	0.2655030198697541	1.3792748946369655
CNAG_00014	111.57095865924033	-0.3374197077100244	0.15719026207879405	-2.146568771167819	0.0318276283158769	0.22211386275766568	1.497195722287036
CNAG_00015	479.4755015715396	0.6639747402378251	0.24874923591458448	2.66925338603179	0.007602007636728563	0.085877346269577	2.119071698454645
CNAG_00016	352.6140456867873	-0.31326427825863046	0.1688727108500124	-1.8550319745672954	0.0635916607152953	0.3439938358565615	1.1965998331376164
CNAG_00017	68.29590845348964	-0.1396025009772665	0.20510628373253909	-0.6806349295436982	0.49610251932909016	0.8970627229968885	0.30442856750535074
CNAG_00018	277.48989055041443	0.5801957880919042	0.12164176332300454	4.769708792787446	1.844924297733333e-6	1.712999573977607e-4	5.734021449424265
CNAG_00019	1774.1017006154855	-0.009776267644445325	0.1732839394301639	-0.056417621140159455	0.9550091196720305	0.9949459948086611	0.019992481186589826
CNAG_00020	680.8669342576322	-0.4001331807726328	0.09356444679934066	-4.2765515584222165	1.8981061239165855e-5	0.001080726189348699	4.721679509641646
CNAG_00021	235.12435370011667	-0.2925246210107152	0.4322210834189011	-0.6767939654790173	0.4985366874372042	0.8970627229968885	0.3023028763387722
CNAG_00022	409.42973945844716	0.160475226635947	0.06462555760018548	2.483154228683768	0.013022469185082357	0.12349148044088101	1.8853066615600398
CNAG_00023	90.51567232227774	0.3814969160960844	0.3052499260909459	1.2497854495218501	0.2113779327408637	0.644243789147204	0.6749403537793552
CNAG_00024	3485.5899910072867	-0.6107179008547344	0.36800967407276464	-1.6595158874382752	0.0970118819218219	0.43953645432226524	1.0131750705063598
CNAG_00025	265.43933972710954	-0.5743890431212092	0.14950470682700204	-3.8419462190301346	1.2206258551158278e-4	0.004622012316187196	3.9134174351206927
CNAG_00026	317.78050954806645	0.3549978743201114	0.2697277069177187	1.316134253973414	0.1881289857916783	0.615232819970098	0.7255442857916772
CNAG_00027	174.27712438022672	0.25069099805497475	0.12094282139146438	2.0728059356540482	0.03819034381984064	0.25128241453131583	1.4180464317448436
CNAG_00028	251.44808878352896	0.2983098750661968	0.20527538783548785	1.4532179342672527	0.14616325425040674	0.5410674698575952	0.8351617962024465
CNAG_00029	113.6079065792865	0.11780393665153226	0.16286503168039956	0.7233224679113834	0.4694817922772494	0.8802134063198246	0.32838124613877245
CNAG_00030	112.25023302459708	0.2199635908871128	0.3306098601941202	0.6653267714337359	0.5058415110116984	0.9036883926297553	0.29598553390110377
CNAG_00031	134.08503866443684	-0.2894111791091541	0.1154045159250227	-2.507797695691406	0.012148619924662488	0.1181396640593434	1.915473054834871
CNAG_00032	47.50927429996672	0.4765928913263988	0.24114192895904066	1.9763999292190735	0.04810949957248481	0.2935795187128348	1.3177691605374435
CNAG_00034	10743.2552167419	0.16679213514416827	0.07960330635317175	2.0952915498782234	0.03614508318363685	0.24224857811449005	1.4419507714384423
CNAG_00035	46.84029493142483	-0.1495698728651095	0.18629701165930251	-0.8028570696487655	0.4220573518549486	0.8495840628039196	0.37462853031379356
CNAG_00036	370.8351983471154	0.3997339169335697	0.30469073340804614	1.3119332920382596	0.18954264331595638	0.6164315635649253	0.7222930671029504
CNAG_00038	338.25577147012734	0.3683041471578157	0.1713830644319613	2.1490113295531112	0.03163350185967069	0.22172893030490995	1.4998527285980576
CNAG_00039	210.8688292003139	-0.6147294460557166	0.24801221885530633	-2.478625645514498	0.0131889649737045	0.12415945082190154	1.879789285109145
CNAG_00040	481.9813173064335	0.19092051726028653	0.20113987969509095	0.9491927585404942	0.3425225838966874	0.7923611172872856	0.46531078843911317
CNAG_00043	181.40613453429356	-0.007379242300751115	0.5133866867472813	-0.01437365341026774	0.9885318787522724	0.9985404539728555	0.005009320742860807
CNAG_00044	169.75198905936583	0.37148180094285155	0.43496757585268364	0.8540448106151856	0.3930801612727132	0.8312940196900002	0.40551887443787477
