CNAG_06347
CNAG_01560
CNAG_00588
CNAG_01562
CNAG_01500
CNAG_01965
CNAG_02984
CNAG_02942
CNAG_00765
CNAG_06541
CNAG_04657
CNAG_01275
CNAG_04098
CNAG_01539
CNAG_01056
CNAG_07913
CNAG_01524
CNAG_00315
CNAG_00400
CNAG_06698
CNAG_01735
CNAG_00827
CNAG_06396
CNAG_05077
CNAG_03492
CNAG_01621
CNAG_07491
CNAG_00399
CNAG_01995
CNAG_04978
CNAG_05833
CNAG_07594
CNAG_04291
