gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_01980	74.08498784087563	-5.9847528592888795	0.7367138517626628	-8.12357857120475	4.526354941760858e-16	4.3821582057590476e-13
CNAG_06389	242.7975386639131	-5.356862603782995	0.6674920266695229	-8.025358191185093	1.012301334741351e-15	8.575457681927669e-13
CNAG_03894	195.60677849721114	-4.4111357181414075	0.6793727924846262	-6.492953157586493	8.416986634910034e-11	2.193919939414819e-8
CNAG_01551	1886.7272536885098	-3.8690070040673827	0.3079057425489021	-12.565556498034137	3.265690967896649e-36	2.213158768943559e-32
CNAG_00456	1387.7583761229905	-3.426866718828224	0.47104017816652555	-7.275104922401615	3.461513051106249e-13	1.8045133805651574e-10
CNAG_06346	596.281180380215	-3.2561532215648374	0.7694451704086483	-4.231819688770691	2.3180821486609343e-5	0.0012467970413869167
CNAG_00735	77.08494310384292	-3.048303806876499	0.3913487687647435	-7.789225494430941	6.742118855392972e-15	4.569133948299818e-12
CNAG_04874	681.4729592224019	-3.030764871155548	0.4231226282105899	-7.162852253902914	7.901549726587987e-13	3.5699201664724525e-10
CNAG_00302	62.51470819146966	-2.9223867080589163	0.35761105080783556	-8.171969801988245	3.0339448538061283e-16	3.426840712374022e-13
CNAG_06917	4474.423580690759	-2.915482921930495	0.8581902063367023	-3.397245622710631	6.806783995276903e-4	0.01851409380267266
CNAG_07759	0.9013825832527278	-2.855805909877806	0.8033908160275305	-3.55469075934762	3.7842388774536275e-4	0.011928272963954992
CNAG_06785	661.1736726499133	-2.7888611642128205	0.3899132142226022	-7.152517694926477	8.520054437782769e-13	3.608775557803364e-10
CNAG_06802	83.2569276919471	-2.655428124988015	0.8166938417454424	-3.2514364493220866	0.0011482344230265425	0.027208338058919156
CNAG_06242	629.8054487840942	-2.584532182900681	0.3632552846153883	-7.114919706225781	1.1197800679423382e-12	4.4639703061442504e-10
CNAG_05161	86.9087509697196	-2.5104466709621587	0.4665772375994624	-5.380559677275288	7.425461763463928e-8	9.31895451314723e-6
CNAG_00674	153.738919974831	-2.3959790186617433	0.5915351647753143	-4.05044224137008	5.1120927058354615e-5	0.0023567790658127158
CNAG_04018	59.423876038936676	-2.3906701876949814	0.3860296245225591	-6.1929707872854545	5.904067500994996e-10	1.1768195721836202e-7
CNAG_03516	982.9893103357269	-2.326305960040256	0.2834420885308223	-8.207341302409597	2.2614006285340007e-16	3.0651024119149847e-13
CNAG_05916	240.93508308174242	-2.2990909296518036	0.21463490135112367	-10.711635969635221	8.976138177736097e-27	3.0415644215258764e-23
CNAG_00165	1396.908711473696	-2.2346993106412567	0.3965335886281921	-5.635586428812244	1.744636168637677e-8	2.6871362079221675e-6
CNAG_05264	47.99270934154238	-2.189397292042204	0.5934500168380688	-3.6892699130879154	2.2489851968392508e-4	0.007776210550499796
CNAG_02872	53.75695221089143	-2.1806898366080527	0.29164182134099215	-7.477287813459224	7.587213004914413e-14	4.674412957664089e-11
CNAG_06562	2.0927353973246148	-2.1635318716993304	0.5295926162570821	-4.085275748348197	4.402450190672004e-5	0.002101084855083392
CNAG_05312	211.78558391772745	-2.1604168806687793	0.3250859730107252	-6.645678558999231	3.0182330926176374e-11	8.522735695279053e-9
CNAG_00597	135.9866354302465	-2.138912910866676	0.3222969904457096	-6.6364656645063285	3.2129373513811965e-11	8.709630572124147e-9
CNAG_06200	319.7860932965551	-1.9983895240646656	0.3816892561122217	-5.235645206311787	1.6440950804288524e-7	1.8265626819780873e-5
CNAG_03007	176.27256791558355	-1.967769755911026	0.19593545437680038	-10.042948899523	9.867915683879434e-24	2.229162152988364e-20
CNAG_05870	717.6970250451357	-1.9495684552930221	0.26567478002310524	-7.338176604958408	2.1652334555840085e-13	1.2228155940410688e-10
CNAG_03848	397.34819359209746	-1.9413931895262402	0.3838808027902249	-5.057281258701368	4.2527579195288833e-7	4.002908391756562e-5
CNAG_05835	891.3752519999302	-1.9274344015753448	0.37470087715324146	-5.143928181377279	2.690524246019508e-7	2.681423943422677e-5
CNAG_04869	50.86516625657253	-1.8369187673296492	0.336660047732194	-5.456301630393873	4.861538270335474e-8	6.637165475115749e-6
CNAG_06294	101.87627671818996	-1.7317011954508126	0.4755395740756384	-3.6415501250698674	2.710013454355173e-4	0.009047172995155176
